frequency_hz,ensemble_average_psd_v2_per_hz
1.593347415890953078e+00,8.004139730842794078e-11
1.596680778685704016e+00,6.561122407408293128e-11
1.600014141480454954e+00,8.314626615474774195e-11
1.603347504275205893e+00,1.084178965420846840e-10
1.606680867069956831e+00,7.011115770261639348e-12
1.610014229864707769e+00,3.507700078720746819e-11
1.613347592659458707e+00,3.168894557775993220e-11
1.616680955454209645e+00,1.529961575444072332e-11
1.620014318248960583e+00,1.871811944711765634e-11
1.623347681043711521e+00,1.720211023128982764e-10
1.626681043838462459e+00,6.825435881170008778e-11
1.630014406633213397e+00,8.998421205514650038e-11
1.633347769427964336e+00,9.257313240581234809e-11
1.636681132222715274e+00,1.853110792032383672e-11
1.640014495017466212e+00,6.101809189626742508e-11
1.643347857812217150e+00,1.573778082695472764e-11
1.646681220606968088e+00,5.157723634105765450e-11
1.650014583401719026e+00,2.086537754763775665e-11
1.653347946196469964e+00,3.255681192193346423e-10
1.656681308991220902e+00,4.201694683652593949e-11
1.660014671785971840e+00,1.289529937462584318e-10
1.663348034580722778e+00,2.905324705957635188e-10
1.666681397375473717e+00,1.242688469189333227e-12
1.670014760170224877e+00,2.263623085005386680e-10
1.673348122964975815e+00,8.379386899651981176e-11
1.676681485759726753e+00,2.196140090372317473e-10
1.680014848554477691e+00,1.264353367504976619e-11
1.683348211349228629e+00,7.895956130856871872e-11
1.686681574143979567e+00,3.385342173148095002e-10
1.690014936938730505e+00,1.950217616874268949e-11
1.693348299733481443e+00,4.112403681085900080e-11
1.696681662528232382e+00,7.068500874345994780e-11
1.700015025322983320e+00,2.603309156624738169e-10
1.703348388117734258e+00,1.473332903249382542e-11
1.706681750912485196e+00,1.274192863805407436e-10
1.710015113707236134e+00,1.956677929182116578e-10
1.713348476501987072e+00,7.573935758362318654e-11
1.716681839296738010e+00,6.942393604879144397e-11
1.720015202091488948e+00,4.992751473164761910e-11
1.723348564886239886e+00,1.983196210243424529e-10
1.726681927680990825e+00,9.921240660279867410e-11
1.730015290475741763e+00,2.875594601753908553e-12
1.733348653270492701e+00,4.515946543857161675e-11
1.736682016065243639e+00,4.301964846676791338e-11
1.740015378859994577e+00,3.069703577260422667e-11
1.743348741654745515e+00,6.852584023841171267e-11
1.746682104449496675e+00,8.019389159796591826e-11
1.750015467244247613e+00,6.222237860765042796e-11
1.753348830038998551e+00,1.746380052005778658e-10
1.756682192833749490e+00,1.176505042439251282e-10
1.760015555628500428e+00,7.357662105358024991e-11
1.763348918423251366e+00,9.892584423220352386e-11
1.766682281218002304e+00,2.309388822024106115e-11
1.770015644012753242e+00,1.783631591429227087e-10
1.773349006807504180e+00,1.974786952854631852e-10
1.776682369602255118e+00,3.750552267025583751e-11
1.780015732397006056e+00,9.393293337847741885e-11
1.783349095191756994e+00,1.422659508007352785e-10
1.786682457986507933e+00,3.464064322032298021e-11
1.790015820781258871e+00,1.226249763146831626e-11
1.793349183576009809e+00,1.116806715875728447e-11
1.796682546370760747e+00,2.549656428993827824e-10
1.800015909165511685e+00,4.614099155387962627e-11
1.803349271960262623e+00,5.202140171510873806e-12
1.806682634755013561e+00,2.262537586139789442e-11
1.810015997549764499e+00,1.752561335705350915e-10
1.813349360344515437e+00,4.349211434370598013e-11
1.816682723139266376e+00,1.825136136643877990e-12
1.820016085934017314e+00,2.355867927612024966e-11
1.823349448728768474e+00,1.578315303782985522e-11
1.826682811523519412e+00,2.616239130457492665e-11
1.830016174318270350e+00,5.765174891957365315e-11
1.833349537113021288e+00,4.074677841308342817e-10
1.836682899907772226e+00,5.755471477419188610e-11
1.840016262702523164e+00,7.913248583868843541e-12
1.843349625497274102e+00,2.071265567646690635e-10
1.846682988292025041e+00,1.336921162253323217e-11
